emp_id,country,first_name,last_name,date_of_birth,sales_team_id
emp_88,ES,Javi,Sanz,15/06/1980,st_6
emp_89,ES,Rosalía,Almodóvar,20/09/1976,st_6
emp_90,ES,Maluma,Cervantes,08/04/1982,st_6
emp_91,ES,Bad,Molina,26/02/1989,st_6
emp_92,ES,Becky G,Lopez,10/08/1984,st_6
emp_93,ES,Ozuna,Hernandez,19/10/1977,st_6
emp_94,ES,Daddy,Ramirez,05/11/1985,st_6
emp_95,ES,Anitta,Ruiz,14/12/1983,st_6
emp_96,ES,Natti,Rios,29/07/1978,st_6
emp_97,ES,Wisin,Soto,06/05/1987,st_6
emp_98,ES,Enrique,Alcala,11/02/1986,st_6
emp_99,ES,Rosario,Montoya,28/04/1979,st_6
emp_100,ES,Chayanne,Delgado,03/09/1984,st_6
emp_101,ES,Camilo,Salazar,19/03/1977,st_6
emp_102,ES,Shakira,Ramírez,02/12/1982,st_6
emp_103,ES,Ricky,Alvarez,17/05/1988,st_6
emp_104,ES,Anuel,Lopez,24/11/1981,st_6
emp_105,ES,Natalia,Valencia,21/08/1976,st_6
emp_106,ES,Romeo,Molina,30/10/1983,st_6
emp_107,ES,Daniela,Montes,14/09/1986,st_6
emp_108,ES,Farruko,García,07/01/1980,st_6
emp_109,ES,Aitana,Torres,09/07/1979,st_6
emp_110,ES,Malú,Jimenez,18/06/1989,st_6
emp_111,ES,Piso21,Herrera,12/04/1978,st_6
emp_112,ES,Karol G,Jimenez,26/07/1987,st_6
emp_113,ES,Lali,Martínez,30/09/1984,st_6
emp_114,ES,Nicky Jam,Rivera,17/03/1982,st_6
emp_115,ES,Anayka,Herrera,23/07/1986,st_6
emp_116,ES,Lérica,Lopez,11/09/1973,st_6
emp_117,ES,Paloma Mami,Gonzalez,26/06/1977,st_6
emp_118,ES,Arcángel,Ramírez,25/10/1984,st_6
emp_119,ES,Sofía Reyes,Gomez,10/04/1986,st_6
emp_120,ES,Yandel,Rosario,22/11/1979,st_6
emp_121,ES,María Becerra,Flores,01/07/1988,st_6
emp_122,ES,Nio García,Sanchez,15/10/1981,st_6
emp_123,ES,Alejandro,Tejedor,03/04/1989,st_6
emp_124,ES,Carlito,Alcaraz,05/05/2003,st_6
